Id Label Name Desc Units Prereq Antireq
CPSC605 CPSC605 "Information Storage and Processing in Biological Systems" "Examination of complex biological systems; concepts and fundamentals of biological solutions to information storage and processing; modelling and computer simulation of biological systems; information storage in biological molecules; genetic networks; hierarchical organization of biological information processing in signal transduction, development, evolution, and ecology; biological control systems." "3 units" "" ""+
CPSC233 CPSC233 "Introduction to Computer Science for Computer Science Majors II" "Continuation of Introduction to Computer Science for Computer Science Majors I. Emphasis on object-oriented analysis and design of small-scale computational systems and implementation using an object oriented language. Issues of design, modularization, and programming style will be emphasized." "3 units" "" ""+
DATA311 DATA311 "Data Processing and Storage" "An introduction to fundamental data structures, including lists, stacks, trees, hash tables, and graphs, and their application for data processing, analysis, and storage. Covers the fundamental design and use of relational databases, with an emphasis on SQL." "3 units" "" ""+
CPSC251 CPSC251 "Theoretical Foundations of Computer Science I " "Proof techniques. Recursion and iteration. Specification of algorithmic problems, proofs of correctness, and bounds on their computational complexity. Discrete structures such as graphs, trees, strings, functions, and their computer representation. Counting, permutations, discrete probability spaces, random events. Applications in Computer Science." "3 units" "" ""+
CPSC695 CPSC695 "Data Management in Geographical Information Systems" "Examination of advanced geometric algorithms for representation, analysis and visualization of Geographical Information Systems. Data structures such as progressive mesh, ROAM, multidimensional Delauney triangulization, quadtree and space partitioning. Algorithmic techniques such as incremental, divide and conquer, sweep-plane, and dimension reduction. Algorithms for surface simplification, culling, quality measurement and reduction." "3 units" "" ""+
CPSC355 CPSC355 "Computing Machinery I" "An introduction to computing machinery establishing the connection between programs expressed in a compiled language, an assembly language, and machine code, and how such code is executed. Includes the detailed study of a modern CPU architecture, its assembly language and internal data representation, and the relationship between high-level program constructs and machine operations." "3 units" "" ""+
CPSC359 CPSC359 "Computing Machinery II" "An introduction to hardware and microprocessor design, including the connection between gate-level digital logic circuits and sequential machines that can execute an algorithm and perform input and output." "3 units" "" ""+
ENSF599 ENSF599 "" "" "3 units" "" ""+
ENGG233 ENGG233 "" "" "3 units" "" ""+
CPSC301 CPSC301 "" "" "3 units" "" ""+
CPSC217 CPSC217 "Introduction to Computer Science for Multidisciplinary Studies I" "Introduction to problem solving, analysis and design of small-scale computational systems and implementation using a procedural programming language. For students wishing to combine studies in computer science with studies in other disciplines." "3 units" "" ""+
CPSC325 CPSC325 "" "" "3 units" "" ""+
CPSC667 CPSC667 "Computer Algebra" "Fundamental problems, classical and modern algorithms, and algorithm design and analysis techniques of use in computer algebra. Integer and polynomial arithmetic. Additional problems in computer algebra, possibly including problems in computational linear algebra, factorization, and concerning systems of polynomial equations will be considered as time permits." "3 units" "" ""+
CPSC607 CPSC607 "Biological Computation" "Examination and modelling of biological networks; focus on the latest developments in biological computing and their theoretical backgrounds, such as: DNA computing; genomic algorithms; artificial chemistries; complex adaptive systems, chaos and fractals; immune system computing; gene regulatory networks; swarm intelligence systems." "3 units" "" ""+
MATH311 MATH311 "Linear Methods II" "An introductory course in the theory of abstract vector spaces: linear independence, spanning sets, basis and dimension; linear transformations and the rank-nullity theorem; the Gram-Schmidt algorithm and orthogonal diagonalization; singular value decomposition and other applications." "3 units" "" ""+
CPSC699 CPSC699 "Research Methodology in Computer Science" "An introduction to and survey of research areas and methods in Computer Science. Professional skills in computer science research such as reviewing, critical evaluation, and the preparation of research proposals." "3 units" "" ""+
CPSC528 CPSC528 "Spam and Spyware" "Spam and other unsolicited bulk electronic communication, and spyware. Legal and ethical issues. Countermeasures and related security problems." "3 units" "" ""+
ENSF337 ENSF337 "Programming Fundamentals for Software and Computer" "Key features of the C programming language. Pointers, memory models and memory management. Manipulation of text files and binary files. Introduction to recursion. Introduction to a modern object-oriented language. Development of basic program design skills with small projects." "3 units" "" ""+
CPSC785 CPSC785 "Implicit Modelling" "A detailed look at modelling using implicit and iso-surface techniques taking an in-depth review of the literature. Algebraic methods will be followed by skeletal models, field function design, modelling techniques, rendering and texture mapping. Polygonisation algorithms, ray tracing implicits, techniques for animation, meta-morphosis, precise contact modelling, deformation and warping. Algorithms and data structures and implementation details will be presented. Students will be expected to make a new contribution in their project and term paper." "3 units" "" ""+
DATA201 DATA201 "Thinking with Data " "An introduction to tools and techniques for managing, visualizing, and making sense of data. Includes an introduction to data cleaning, basic statistics, exploratory visualization, sensemaking, and data presentation." "3 units" "" ""+
CPSC561 CPSC561 "Introduction to Distributed Algorithms" "Basic problems in distributed systems such as symmetry breaking, consensus, resource allocation, and synchronization. The impact of system characteristics, such as models of communication, timing and failure, and of solution requirements, such as correctness and complexity criteria and algorithmic constraints, on the computability and complexity of these problems. Techniques for solving problems under different models will be emphasized." "3 units" "" ""+
CPSC635 CPSC635 "Image Analysis and Computer Vision" "Standard methods used in the analysis of digital images. Image acquisition and display: visual perception; digital representation. Sampling and enhancement. Feature extraction and classification methods. Object recognition." "3 units" "" ""+
CPSC499 CPSC499 "Special Topics in Computer Science" "Exploration of various areas in Computer Science. Topics will vary from year-to-year. It will be offered as required to provide the opportunity for students to engage in additional areas in Computer Science. Before registration, consult the Department of Computer Science for topics offered. " "3 units" "" ""+
CPSC622 CPSC622 "Randomized Algorithms" "Design and analysis of randomized algorithms; discrete probability theory; randomized data structures; lower bound techniques; randomized complexity classes; advanced algorithmic applications from various areas." "3 units" "" ""+
MATH265 MATH265 "University Calculus I " "An introduction to single variable calculus intended for students with credit in high school calculus. Limits, derivatives, and integrals of algebraic, exponential, logarithmic and trigonometric functions play a central role. Additional topics include applications of differentiation; the fundamental theorem of calculus, improper integrals and applications of integration. Differential calculus in several variables will also be introduced.  " "3 units" "" ""+
STAT213 STAT213 "Introduction to Statistics I" "Introduction to probability, including Bayes' law, expectations and distributions. Discrete and continuous random variables, including properties of the normal curve. Collection and visual display of single and multi-dimensional data. Introduction to statistical modeling and estimation. Parametric and simulation-based confidence interval estimation." "3 units" "" ""+
SENG300 SENG300 "Introduction to Software Engineering" "Introduction to the development and evolution of software. Covers key conceptual foundations as well as key methods and techniques used in the different phases of the software lifecycle. Emphasis on both technical and soft skills needed for high quality software and software-based products developed in teams." "3 units" "" ""+
CPSC544 CPSC544 "Machine Learning" "Presenting various techniques for learning various kinds of knowledge, including rules, parameters, trees and graphs, partitions of sets, sequences and behaviors, and cases. Pointing out the components that can be improved using knowledge about the application area of a system. Looking at various pre-processing and post-processing improvement techniques. " "3 units" "" ""+
CPSC609 CPSC609 "Foundations of Multi-Agent Systems" "Modelling of agents and properties of multi-agent systems. Communication issues, including interaction and co-ordination concepts, forming and maintaining organizations, and competitive agent environments. Example systems; the implementation of a multi-agent system will be performed as the assignment." "3 units" "" ""+
CPSC672 CPSC672 "Fundamentals of Social Network Analysis and Data Mining " "Introduction to data mining with emphasis on frequent pattern mining, clustering and classification, data collection, network construction, basic graph theory concepts and network analysis metrics, and case studies. " "3 units" "" ""+
CPSC683 CPSC683 "Information Visualization: Theory and Practice" "The theory and development of interactive visual representations of abstract data for the purpose of amplifying cognition. Topics covered can include representational issues, perceptual issues, visual literacy, spatial abstraction, and interaction issues." "3 units" "" ""+
CPSC451 CPSC451 "" "" "3 units" "" ""+
ENDG233 ENDG233 "Programming with Data" "Fundamental programming constructs and data structures. Algorithm development and problem solving. Programming techniques to facilitate data analysis. Obtaining and cleaning data. Data validation. Data manipulation. Data visualization. Introduction to decision making using machine learning. Applications chosen from all engineering disciplines. " "3 units" "" ""+
CPSC351 CPSC351 "Theoretical Foundations of Computer Science II " "Probability spaces, random variables, expectation, independence, concentration bounds, conditional probability, repeated trials, error bounds. Turing machines and finite automata. Deterministic, nondeterministic and probabilistic models of computation. Languages, regular languages and regular expressions. Methods for classifying computational problems as decidable or undecidable." "3 units" "" ""+
CPSC626 CPSC626 "Network Systems Security" "Attacks on networked systems, tools and techniques for detection and protection against attacks including firewalls and intrusion detection and protection systems, authentication and identification in distributed systems, cryptographic protocols for IP networks, security protocols for emerging networks and technologies, privacy enhancing communication. Legal and ethical issues will be introduced as necessary." "3 units" "" ""+
ENSF480 ENSF480 "" "" "3 units" "" ""+
ENGG319 ENGG319 "" "" "3 units" "" ""+
CPSC413 CPSC413 "Design and Analysis of Algorithms I" "Techniques for the analysis of algorithms, including counting, summation, recurrences, and asymptotic relations; techniques for the design of efficient algorithms, including greedy methods, divide and conquer, and dynamic programming; examples of their application; an introduction to tractable and intractable problems." "3 units" "" ""+
ENCM493 ENCM493 "" "" "3 units" "" ""+
CPSC602 CPSC602 "Explorations in Information Security and Privacy" "Surveys topics in information security and privacy, with the purposes of cultivating an appropriate mindset for approaching security and privacy issues and developing basic familiarity with related technical controls." "3 units" "" ""+
AMAT219 AMAT219 "" "" "3 units" "" ""+
CPSC689 CPSC689 "Modelling for Computer Graphics" "Parametric Modelling. B-splines and NURBS. Subdivision schemes. Surface subdivision. Multiresolution. Wavelets. Implicit modelling. Blends. Polygonization. Blobtree. Precise contact modelling. Solid modelling. CSG. Procedural modelling. Special topics, e.g. Differential geometry. Graph-based modelling. Topology." "3 units" "" ""+
CPSC441 CPSC441 "Computer Networks" "Principles and practice in modern telecommunications, computer communications and networks. Layered communication protocols and current physical, data link, network and Internet protocol layers. Circuit switching, packet switching, and an introduction to broadband multimedia networking." "3 units" "" ""+
CPSC615 CPSC615 "Computational Techniques for Graphics and Visualization" "Various case studies from the fields of graphics and visualization. Topics in numerical linear algebra, numerical optimization, and discrete differential geometry." "3 units" "" ""+
PHIL377 PHIL377 "Elementary Formal Logic" "Sentential and first-order logic, with identity and descriptions, from both deductive and semantic points of view. Completeness, compactness, decidability for sentential logic." "3 units" "" ""+
CPSC669 CPSC669 "Cryptography" "An overview of the basic techniques in modern cryptography, with emphasis on fit-for-application primitives and protocols. Topics will include symmetric and public-key cryptosystems; digital signatures; elliptic curve cryptography; key management; attack models and well-defined notions of security." "3 units" "" ""+
CPSC453 CPSC453 "Introduction to Computer Graphics" "Introduction to computer graphics. Principles of raster image generation. Example of a graphics API. Graphics primitives. Co-ordinate systems, affine transformations and viewing of graphical objects. Introduction to rendering including shading models and ray tracing. Introduction to modelling including polygon meshes, subdivision, and parametric curves and surfaces." "3 units" "" ""+
AMAT307 AMAT307 "" "" "3 units" "" ""+
CPSC502 CPSC502 "Research Project" "A substantial research project under the guidance of a faculty member. A report must be written and presented on completion of the course. 502.01. Research Project in Computer Science 502.02. Research Project in Theoretical Computer Science 502.03. Research Project in Computer Graphics 502.04. Research Project in Information Security 502.05. Research Project in Scientific Computation 502.06. Research Project in Software Engineering502.07. Research Project in Human Computer Interaction502.08. Research Project in Networks and Distributed Computing" "6 units" "" ""+
CPSC525 CPSC525 "Principles of Computer Security" "Security policies and protection mechanisms for a computing system, including such topics as design principles of protection systems, authentication and authorization, reference monitors, security architecture of popular platforms, formal modelling of protection systems, discretionary access control, safety analysis, information flow control, integrity, role-based access control. Legal and ethical considerations will be introduced." "3 units" "" ""+
CPSC550 CPSC550 "Systems Administration" "Topics and practices in systems administration and management. Required and optional administration duties and responsibilities. Moral and ethical conundrums, and legal responsibilities, in systems operation. Configuration and installation of operating systems and network and systems services." "6 units" "" ""+
CPSC565 CPSC565 "Emergent Computing" "An insight into a new mindset for programming as an emergent and evolutionary process of "breeding," rather than constructing. Programs can evolve to perform specific tasks in a bottom-up fashion rather than being manually coded. Topics will include: decentralized agent-based programming, massive parallelism and interaction, evolution, swarm intelligence." "3 units" "" ""+
CPSC589 CPSC589 "Modelling for Computer Graphics" "Parametric Modelling. B-splines and NURBS. Subdivision schemes. Surface subdivision. Multiresolution. Wavelets. Implicit modelling. Blends. Polygonization. Blobtree. Precise contact modelling. Solid modelling. CSG. Procedural modelling. Special topics, e.g. Differential geometry. Graph-based modelling. Topology." "3 units" "" ""+
